embedding,clustering,k,alpha,mean,std
e5,spectral,5,0.75,0.2701329365079365,0.11802808391285256
e5,spectral,6,0.25,0.23686333333333334,0.0856344352232953
e5,spectral,6,0.5,0.24719809523809524,0.09414405787259308
e5,spectral,6,0.75,0.24321238095238096,0.10395850358671074
e5,spectral,7,0.25,0.21891000000000002,0.07932936807170131
e5,spectral,7,0.5,0.23397833333333334,0.07371515035701184
e5,spectral,7,0.75,0.24042833333333335,0.08189953487245778
e5,spectral,8,0.25,0.2102088888888889,0.04966171848444518
e5,spectral,8,0.5,0.22217111111111112,0.0498208318159009
e5,spectral,8,0.75,0.2173311111111111,0.06014199418581384
e5,spectral,9,0.25,0.18055,0.036837820239531006
e5,spectral,9,0.5,0.19108,0.053426560186234456
e5,spectral,9,0.75,0.18592,0.05474966869509095
e5,spectral,10,0.25,0.1868,
e5,spectral,10,0.5,0.1868,
e5,spectral,10,0.75,0.1726,
fasttext_pretrained,dbscan,2,0.25,0.5143842105263158,0.1589615755917759
fasttext_pretrained,dbscan,2,0.5,0.5215368421052632,0.14648992081568205
fasttext_pretrained,dbscan,2,0.75,0.5414315789473685,0.15206728793030908
fasttext_pretrained,dbscan,3,0.25,0.25054444444444446,0.09563422114477775
fasttext_pretrained,dbscan,3,0.5,0.24954166666666666,0.09610495564745866
fasttext_pretrained,dbscan,3,0.75,0.24956388888888886,0.09606255150466961
fasttext_pretrained,hac,2,0.25,0.48021111111111114,0.1575320576642075
fasttext_pretrained,hac,2,0.5,0.5137377777777777,0.14868040050709272
fasttext_pretrained,hac,2,0.75,0.5121333333333333,0.15003213595154147
fasttext_pretrained,hac,3,0.25,0.3218533333333333,0.12089781429538156
fasttext_pretrained,hac,3,0.5,0.3425741666666667,0.12446452263298853
fasttext_pretrained,hac,3,0.75,0.35475083333333335,0.12382387939546809
fasttext_pretrained,hac,4,0.25,0.2504733333333333,0.10082816332719845
fasttext_pretrained,hac,4,0.5,0.2729871428571429,0.10627851410880594
fasttext_pretrained,hac,4,0.75,0.27817619047619047,0.10723920141602286
fasttext_pretrained,hac,5,0.25,0.2122718253968254,0.07625388214166257
fasttext_pretrained,hac,5,0.5,0.23111944444444446,0.0856854600654183
fasttext_pretrained,hac,5,0.75,0.24343571428571428,0.07876196269276717
fasttext_pretrained,hac,6,0.25,0.18491095238095237,0.06465375371857407
fasttext_pretrained,hac,6,0.5,0.20208238095238096,0.07419876141325323
fasttext_pretrained,hac,6,0.75,0.21632857142857143,0.06956258166776409
fasttext_pretrained,hac,7,0.25,0.16009083333333332,0.050478198964783734
fasttext_pretrained,hac,7,0.5,0.16926583333333334,0.060581643635000584
fasttext_pretrained,hac,7,0.75,0.18286416666666666,0.05326408567533221
fasttext_pretrained,hac,8,0.25,0.15107777777777778,0.04491939694855911
fasttext_pretrained,hac,8,0.5,0.1566377777777778,0.046968883746625695
fasttext_pretrained,hac,8,0.75,0.17055333333333333,0.03844433756626703
fasttext_pretrained,hac,9,0.25,0.12835000000000002,0.030619392910739143
fasttext_pretrained,hac,9,0.5,0.14922,0.03166427359378741
fasttext_pretrained,hac,9,0.75,0.15871,0.03046460423362022
fasttext_pretrained,hac,10,0.25,0.1469,
fasttext_pretrained,hac,10,0.5,0.1483,
fasttext_pretrained,hac,10,0.75,0.2016,
fasttext_pretrained,hdbscan,2,0.25,0.43827142857142853,0.12137450897355438
fasttext_pretrained,hdbscan,2,0.5,0.4961642857142857,0.1352683350696957
fasttext_pretrained,hdbscan,2,0.75,0.5008857142857143,0.13401937206207204
fasttext_pretrained,hdbscan,3,0.25,0.23599333333333333,0.062277380285606865
fasttext_pretrained,hdbscan,3,0.5,0.3232333333333334,0.05870165082451949
fasttext_pretrained,hdbscan,3,0.75,0.3232333333333334,0.05870165082451949
fasttext_pretrained,hdbscan,4,0.25,0.2616538461538461,0.051968061197387234
fasttext_pretrained,hdbscan,4,0.5,0.2810692307692308,0.03088456921157579
fasttext_pretrained,hdbscan,4,0.75,0.2810423076923077,0.030901160794726434
fasttext_pretrained,hdbscan,5,0.25,0.17565,0.0010535653752852766
fasttext_pretrained,hdbscan,5,0.5,0.24775,0.03730035746030684
fasttext_pretrained,hdbscan,5,0.75,0.24775,0.03730035746030684
fasttext_pretrained,hdbscan,6,0.25,0.1943,0.0026645825188948533
fasttext_pretrained,hdbscan,6,0.5,0.1943,0.0026645825188948533
fasttext_pretrained,hdbscan,6,0.75,0.1943,0.0026645825188948533
fasttext_pretrained,kmeans,2,0.25,0.4903933333333333,0.16123834616097774
fasttext_pretrained,kmeans,2,0.5,0.5266977777777778,0.15641863770734685
fasttext_pretrained,kmeans,2,0.75,0.5272977777777778,0.15562945282258941
fasttext_pretrained,kmeans,3,0.25,0.3424425,0.12375550894282437
fasttext_pretrained,kmeans,3,0.5,0.361365,0.12298554717984567
fasttext_pretrained,kmeans,3,0.75,0.36093499999999995,0.12516897060246468
fasttext_pretrained,kmeans,4,0.25,0.26293190476190476,0.11108608490496194
fasttext_pretrained,kmeans,4,0.5,0.2872795238095238,0.11750470339669954
fasttext_pretrained,kmeans,4,0.75,0.3027666666666667,0.10143132512251064
fasttext_pretrained,kmeans,5,0.25,0.20795555555555556,0.09044251552467546
fasttext_pretrained,kmeans,5,0.5,0.23353690476190478,0.10437789501265948
fasttext_pretrained,kmeans,5,0.75,0.2575876984126984,0.09264245479120982
fasttext_pretrained,kmeans,6,0.25,0.1865666666666667,0.07802280143560372
fasttext_pretrained,kmeans,6,0.5,0.20603809523809524,0.09247924415362258
fasttext_pretrained,kmeans,6,0.75,0.22569952380952382,0.08402493449564263
fasttext_pretrained,kmeans,7,0.25,0.16918166666666667,0.060500256244103955
fasttext_pretrained,kmeans,7,0.5,0.18393916666666668,0.06834238973429183
fasttext_pretrained,kmeans,7,0.75,0.20458083333333335,0.05840129113317966
fasttext_pretrained,kmeans,8,0.25,0.15268222222222222,0.051306123544186344
fasttext_pretrained,kmeans,8,0.5,0.16482444444444444,0.05859965930538395
fasttext_pretrained,kmeans,8,0.75,0.18983111111111112,0.050686831812532133
fasttext_pretrained,kmeans,9,0.25,0.14551,0.03604276626453635
fasttext_pretrained,kmeans,9,0.5,0.129,0.04795025199794749
fasttext_pretrained,kmeans,9,0.75,0.17803,0.03368171445887055
fasttext_pretrained,kmeans,10,0.25,0.1646,
fasttext_pretrained,kmeans,10,0.5,0.1587,
fasttext_pretrained,kmeans,10,0.75,0.1858,
fasttext_pretrained,spectral,2,0.25,0.4926933333333333,0.15580408356184203
fasttext_pretrained,spectral,2,0.5,0.5162888888888889,0.15509952409255603
fasttext_pretrained,spectral,2,0.75,0.5252377777777778,0.15063054937176723
fasttext_pretrained,spectral,3,0.25,0.3346975,0.10963199439660921
fasttext_pretrained,spectral,3,0.5,0.3692591666666667,0.10452039766816561
fasttext_pretrained,spectral,3,0.75,0.3745975,0.10444356560869997
fasttext_pretrained,spectral,4,0.25,0.2701942857142857,0.1015453148696452
fasttext_pretrained,spectral,4,0.5,0.30508857142857143,0.10283996376056725
fasttext_pretrained,spectral,4,0.75,0.31623,0.10015612790507528
fasttext_pretrained,spectral,5,0.25,0.23334880952380951,0.08617780631558199
fasttext_pretrained,spectral,5,0.5,0.25992539682539684,0.08664819140378573
fasttext_pretrained,spectral,5,0.75,0.26719206349206354,0.0920372054538647
fasttext_pretrained,spectral,6,0.25,0.20709285714285713,0.07309443911868528
fasttext_pretrained,spectral,6,0.5,0.23353809523809524,0.07129951902097566
fasttext_pretrained,spectral,6,0.75,0.22695857142857143,0.08675488292233514
fasttext_pretrained,spectral,7,0.25,0.17381,0.06579038064089573
fasttext_pretrained,spectral,7,0.5,0.21154916666666665,0.06590642461871535
fasttext_pretrained,spectral,7,0.75,0.19968916666666667,0.07294179191453332
fasttext_pretrained,spectral,8,0.25,0.16605333333333333,0.04603211132163365
fasttext_pretrained,spectral,8,0.5,0.1913088888888889,0.05720941523839579
fasttext_pretrained,spectral,8,0.75,0.17748666666666668,0.06751731629737662
fasttext_pretrained,spectral,9,0.25,0.13542,0.03873949463331246
fasttext_pretrained,spectral,9,0.5,0.16351,0.07103255044148578
fasttext_pretrained,spectral,9,0.75,0.16017,0.06445463607151243
fasttext_pretrained,spectral,10,0.25,0.1608,
fasttext_pretrained,spectral,10,0.5,0.1315,
fasttext_pretrained,spectral,10,0.75,0.1585,
glove_pretrained,dbscan,2,0.25,0.42317499999999997,0.14687434619915274
glove_pretrained,dbscan,2,0.5,0.42317499999999997,0.14687434619915274
glove_pretrained,dbscan,2,0.75,0.6103375,0.07739396317358538
glove_pretrained,dbscan,3,0.25,0.20617999999999997,0.04088296711345693
glove_pretrained,dbscan,3,0.5,0.24695999999999999,0.07574419449700419
glove_pretrained,dbscan,3,0.75,0.49002,0.024154854584534344
glove_pretrained,dbscan,4,0.25,0.1346,
glove_pretrained,dbscan,4,0.5,0.1346,
glove_pretrained,dbscan,4,0.75,0.4506,
glove_pretrained,dbscan,7,0.25,0.073,
glove_pretrained,dbscan,7,0.5,0.0787,
glove_pretrained,dbscan,7,0.75,0.0787,
glove_pretrained,dbscan,8,0.25,0.04106111111111111,0.01029433346979306
glove_pretrained,dbscan,8,0.5,0.04564722222222222,0.010460250915076044
glove_pretrained,dbscan,8,0.75,0.12293333333333334,0.03441637484022478
glove_pretrained,hac,2,0.25,0.39990888888888887,0.17504200771428116
glove_pretrained,hac,2,0.5,0.44754888888888894,0.18135040118538756
glove_pretrained,hac,2,0.75,0.5088022222222223,0.1788696179406168
glove_pretrained,hac,3,0.25,0.255305,0.11103596271842167
glove_pretrained,hac,3,0.5,0.296155,0.11926183809253521
glove_pretrained,hac,3,0.75,0.36085833333333334,0.12598994329836383
glove_pretrained,hac,4,0.25,0.1859409523809524,0.09005773660565541
glove_pretrained,hac,4,0.5,0.21605904761904762,0.1103534414820649
glove_pretrained,hac,4,0.75,0.2786090476190476,0.11763546630205955
glove_pretrained,hac,5,0.25,0.14634246031746032,0.06967276773920102
glove_pretrained,hac,5,0.5,0.17152380952380952,0.08151738350387701
glove_pretrained,hac,5,0.75,0.23380357142857144,0.10082496818894436
glove_pretrained,hac,6,0.25,0.11689809523809525,0.04966977069361644
glove_pretrained,hac,6,0.5,0.13889238095238096,0.059952106395768825
glove_pretrained,hac,6,0.75,0.19897333333333334,0.08411542680812623
glove_pretrained,hac,7,0.25,0.09389333333333334,0.039588184158028415
glove_pretrained,hac,7,0.5,0.11619583333333333,0.044695374896233375
glove_pretrained,hac,7,0.75,0.17644833333333335,0.06617485493577081
glove_pretrained,hac,8,0.25,0.08085111111111111,0.03195703523498544
glove_pretrained,hac,8,0.5,0.10362888888888888,0.0404073554410255
glove_pretrained,hac,8,0.75,0.15958444444444445,0.05099047573970668
glove_pretrained,hac,9,0.25,0.05405,0.018375058578893776
glove_pretrained,hac,9,0.5,0.08982,0.028133325434438066
glove_pretrained,hac,9,0.75,0.1363,0.047503099314091544
glove_pretrained,hac,10,0.25,0.0578,
glove_pretrained,hac,10,0.5,0.0689,
glove_pretrained,hac,10,0.75,0.1196,
glove_pretrained,hdbscan,2,0.25,0.43043846153846155,0.13251971261200815
glove_pretrained,hdbscan,2,0.5,0.43043846153846155,0.13251971261200815
glove_pretrained,hdbscan,2,0.75,0.513623076923077,0.11637744020961961
glove_pretrained,hdbscan,3,0.25,0.17188275862068966,0.05398162431371251
glove_pretrained,hdbscan,3,0.5,0.23190344827586207,0.07656037058966986
glove_pretrained,hdbscan,3,0.75,0.3276344827586207,0.05783746484677107
glove_pretrained,hdbscan,4,0.25,0.14750000000000002,0.007889655674784977
glove_pretrained,hdbscan,4,0.5,0.151425,0.009616088948562546
glove_pretrained,hdbscan,4,0.75,0.2099,0.002127596452964392
glove_pretrained,hdbscan,5,0.25,0.10049999999999999,0.05519226681147889
glove_pretrained,hdbscan,5,0.5,0.098105,0.05229081105751403
glove_pretrained,hdbscan,5,0.75,0.19391,0.056925000520074875
glove_pretrained,kmeans,2,0.25,0.40674444444444446,0.18082916668848678
glove_pretrained,kmeans,2,0.5,0.46537555555555554,0.18415868423671466
glove_pretrained,kmeans,2,0.75,0.5478422222222222,0.16541718813748812
glove_pretrained,kmeans,3,0.25,0.24909583333333335,0.109750491199937
glove_pretrained,kmeans,3,0.5,0.2887875,0.11682799506399254
glove_pretrained,kmeans,3,0.75,0.36855,0.1149077752231009
glove_pretrained,kmeans,4,0.25,0.1731090476190476,0.08000594932452396
glove_pretrained,kmeans,4,0.5,0.19546952380952382,0.10028036785336226
glove_pretrained,kmeans,4,0.75,0.26302571428571425,0.12687043085590874
glove_pretrained,kmeans,5,0.25,0.14555714285714286,0.06668950941420843
glove_pretrained,kmeans,5,0.5,0.1577468253968254,0.08208658696039227
glove_pretrained,kmeans,5,0.75,0.21473531746031746,0.11402298285967413
glove_pretrained,kmeans,6,0.25,0.11782619047619049,0.05314945281656611
glove_pretrained,kmeans,6,0.5,0.13124761904761906,0.06411455596173128
glove_pretrained,kmeans,6,0.75,0.17941142857142858,0.09376186859664283
glove_pretrained,kmeans,7,0.25,0.08944416666666667,0.04015210742155581
glove_pretrained,kmeans,7,0.5,0.10722333333333332,0.052112505528836325
glove_pretrained,kmeans,7,0.75,0.15738166666666667,0.0805045319287332
glove_pretrained,kmeans,8,0.25,0.07565555555555556,0.03614137364418913
glove_pretrained,kmeans,8,0.5,0.08101111111111112,0.035812099416907474
glove_pretrained,kmeans,8,0.75,0.1223888888888889,0.04566249317359142
glove_pretrained,kmeans,9,0.25,0.0503,0.013776308165349192
glove_pretrained,kmeans,9,0.5,0.08678,0.034963307750967856
glove_pretrained,kmeans,9,0.75,0.10349,0.02300151927349342
glove_pretrained,kmeans,10,0.25,0.048,
glove_pretrained,kmeans,10,0.5,0.0883,
