embedding,clustering,k,mean,std
minilm,dbscan,7,0.11596799999999999,0.034600422431415964
minilm,dbscan,8,0.09491363636363635,0.026914048295843485
minilm,dbscan,9,0.09437999999999999,0.013296879333136781
minilm,hac,2,0.6746969696969697,0.17533790144456413
minilm,hac,3,0.47311318181818185,0.1467801772006477
minilm,hac,4,0.37924,0.11757701419583032
minilm,hac,5,0.32207803030303034,0.10211620743121826
minilm,hac,6,0.2820107142857143,0.09244566501106227
minilm,hac,7,0.24895202020202017,0.08525858633936052
minilm,hac,8,0.22739010101010101,0.07083269678757334
minilm,hac,9,0.21035,0.05464783769174732
minilm,hac,10,0.1932939393939394,0.042076227085860333
minilm,hac,11,0.17605833333333334,0.02921903048398839
minilm,hac,12,0.1792,
minilm,hdbscan,2,0.4749369565217392,0.1765543232218038
minilm,hdbscan,3,0.2980455696202532,0.10765275824764181
minilm,hdbscan,4,0.20880303030303032,0.06130336817750911
minilm,hdbscan,5,0.15695317919075144,0.054042876536772796
minilm,hdbscan,6,0.11395000000000001,0.04924751012509289
minilm,hdbscan,7,0.1094246913580247,0.04068381598026479
minilm,hdbscan,8,0.14614285714285716,0.04652959119896561
minilm,hdbscan,9,0.11826666666666667,0.0522040547595044
minilm,hdbscan,10,0.09964999999999999,0.007424621202458741
minilm,kmeans,2,0.6884348484848485,0.2014634874286151
minilm,kmeans,3,0.48271545454545456,0.1698464722731328
minilm,kmeans,4,0.392229494949495,0.12213759305966515
minilm,kmeans,5,0.3352385101010101,0.10529642893373503
minilm,kmeans,6,0.2983525974025974,0.08971550208867474
minilm,kmeans,7,0.2676454545454545,0.07749843376449556
minilm,kmeans,8,0.2429919191919192,0.06686838555849799
minilm,kmeans,9,0.21862363636363638,0.05576914570160868
minilm,kmeans,10,0.20206212121212122,0.04549040056015713
minilm,kmeans,11,0.19488333333333333,0.02771005178084245
minilm,kmeans,12,0.1497,
minilm,spectral,2,0.6563409090909091,0.2034278409032192
minilm,spectral,3,0.4668409090909091,0.1606890765527349
minilm,spectral,4,0.36170121212121215,0.13449814651336978
minilm,spectral,5,0.2928164141414141,0.12340951729530274
minilm,spectral,6,0.23623051948051946,0.11711602260661204
minilm,spectral,7,0.20192626262626262,0.10362643763129879
minilm,spectral,8,0.17702747474747477,0.0882687237003638
minilm,spectral,9,0.16990227272727274,0.06865798462858211
minilm,spectral,10,0.16143333333333335,0.050162592048514025
minilm,spectral,11,0.14314166666666667,0.03650605076455467
minilm,spectral,12,0.134,
mpnet,dbscan,2,0.5582295454545455,0.1542586435398851
mpnet,dbscan,3,0.35109915966386557,0.1491738029074278
mpnet,dbscan,4,0.23302298850574713,0.11306831348665562
mpnet,dbscan,5,0.12398284960422164,0.07578339151788809
mpnet,dbscan,6,0.09428127090301004,0.05850045072725626
mpnet,dbscan,7,0.069035,0.018269317840548242
mpnet,dbscan,8,0.06701666666666665,0.0435919908545901
mpnet,dbscan,9,0.03727974683544304,0.030853169141741858
mpnet,dbscan,10,0.034889189189189186,0.021904816616237423
mpnet,hac,2,0.6513787878787879,0.18056717268323128
mpnet,hac,3,0.46734272727272724,0.1410578562339348
mpnet,hac,4,0.3796327272727273,0.12625701687974755
mpnet,hac,5,0.31785997474747474,0.12170342982367574
mpnet,hac,6,0.27845476190476187,0.10838170093498117
