k,class_subset,embedding,clustering,precision,recall,f1,alpha
4,"[1, 2, 3, 4]",sroberta,kmeans,0.5253,0.53,0.5252,
4,"[1, 2, 3, 4]",sroberta,hac,0.5144,0.4992,0.4882,
4,"[1, 2, 3, 4]",sroberta,spectral,0.5854,0.5651,0.5249,
4,"[1, 2, 3, 4]",sroberta,hdbscan,0.5017,0.3131,0.2117,
5,"[0, 1, 2, 3, 4]",sroberta,kmeans,0.5465,0.5451,0.5397,
5,"[0, 1, 2, 3, 4]",sroberta,hac,0.4905,0.4897,0.4794,
5,"[0, 1, 2, 3, 4]",sroberta,spectral,0.4956,0.4938,0.4547,
5,"[0, 1, 2, 3, 4]",sroberta,dbscan,0.228,0.198,0.0743,
2,"[0, 1]",mpnet,kmeans,0.8967,0.9003,0.8982,
2,"[0, 1]",mpnet,hac,0.8095,0.8154,0.8062,
2,"[0, 1]",mpnet,spectral,0.8829,0.8503,0.8584,
2,"[0, 1]",mpnet,dbscan,0.2791,0.4752,0.3517,
2,"[0, 1]",mpnet,hdbscan,0.7861,0.5032,0.3703,
2,"[0, 2]",mpnet,kmeans,0.7982,0.7949,0.7929,
2,"[0, 2]",mpnet,hac,0.7812,0.7677,0.7623,
2,"[0, 2]",mpnet,spectral,0.7672,0.7664,0.7653,
2,"[0, 2]",mpnet,dbscan,0.2504,0.4752,0.328,
2,"[0, 2]",mpnet,hdbscan,0.6864,0.5043,0.35,
2,"[0, 3]",mpnet,kmeans,0.7839,0.7989,0.77,
2,"[0, 3]",mpnet,hac,0.7604,0.7696,0.7352,
2,"[0, 3]",mpnet,spectral,0.52,0.5098,0.4723,
2,"[0, 3]",mpnet,dbscan,0.3538,0.4933,0.3816,
2,"[0, 3]",mpnet,hdbscan,0.7494,0.5083,0.4018,
2,"[0, 4]",mpnet,kmeans,0.8793,0.891,0.8802,
2,"[0, 4]",mpnet,hac,0.8474,0.852,0.8293,
2,"[0, 4]",mpnet,spectral,0.8454,0.854,0.8356,
2,"[0, 4]",mpnet,dbscan,0.5022,0.5003,0.4011,
2,"[0, 4]",mpnet,hdbscan,0.482,0.4934,0.427,
2,"[1, 2]",mpnet,kmeans,0.8591,0.8338,0.8394,
2,"[1, 2]",mpnet,hac,0.8435,0.7836,0.7888,
2,"[1, 2]",mpnet,spectral,0.8411,0.8342,0.8366,
2,"[1, 2]",mpnet,hdbscan,0.5224,0.5218,0.5095,
2,"[1, 3]",mpnet,kmeans,0.7978,0.7942,0.7835,
2,"[1, 3]",mpnet,hac,0.7797,0.7277,0.6941,
2,"[1, 3]",mpnet,spectral,0.7804,0.7823,0.781,
2,"[1, 3]",mpnet,dbscan,0.2741,0.4947,0.3528,
2,"[1, 4]",mpnet,kmeans,0.8142,0.8466,0.8145,
2,"[1, 4]",mpnet,hac,0.7279,0.7361,0.6747,
2,"[1, 4]",mpnet,spectral,0.9025,0.8218,0.8454,
2,"[1, 4]",mpnet,dbscan,0.6732,0.5017,0.2606,
2,"[1, 4]",mpnet,hdbscan,0.6266,0.6135,0.6168,
2,"[2, 3]",mpnet,kmeans,0.4402,0.4526,0.4371,
2,"[2, 3]",mpnet,hac,0.4497,0.4691,0.4356,
2,"[2, 3]",mpnet,spectral,0.4676,0.4738,0.4617,
2,"[2, 3]",mpnet,hdbscan,0.6792,0.5031,0.3858,
2,"[2, 4]",mpnet,kmeans,0.8105,0.8216,0.7999,
2,"[2, 4]",mpnet,hac,0.7547,0.7482,0.7122,
2,"[2, 4]",mpnet,spectral,0.7833,0.7949,0.7835,
2,"[2, 4]",mpnet,hdbscan,0.6185,0.6229,0.6091,
2,"[3, 4]",mpnet,kmeans,0.6933,0.7296,0.6786,
2,"[3, 4]",mpnet,hac,0.7149,0.7037,0.7086,
2,"[3, 4]",mpnet,spectral,0.6454,0.6574,0.6494,
2,"[3, 4]",mpnet,dbscan,0.6508,0.5017,0.2351,
2,"[3, 4]",mpnet,hdbscan,0.6288,0.5964,0.6013,
3,"[0, 1, 2]",mpnet,kmeans,0.7622,0.7443,0.749,
3,"[0, 1, 2]",mpnet,hac,0.7631,0.7044,0.712,
3,"[0, 1, 2]",mpnet,spectral,0.7475,0.7234,0.7292,
3,"[0, 1, 2]",mpnet,hdbscan,0.235,0.3339,0.1818,
3,"[0, 1, 3]",mpnet,kmeans,0.7306,0.718,0.7106,
3,"[0, 1, 3]",mpnet,hac,0.7326,0.6965,0.6838,
3,"[0, 1, 3]",mpnet,spectral,0.6108,0.6133,0.5948,
3,"[0, 1, 3]",mpnet,hdbscan,0.4755,0.3397,0.2129,
3,"[0, 1, 4]",mpnet,kmeans,0.8101,0.8162,0.8072,
3,"[0, 1, 4]",mpnet,hac,0.7748,0.7121,0.7035,
3,"[0, 1, 4]",mpnet,spectral,0.8111,0.7687,0.7698,
3,"[0, 1, 4]",mpnet,hdbscan,0.4875,0.3337,0.2747,
3,"[0, 2, 3]",mpnet,kmeans,0.5407,0.5461,0.5265,
3,"[0, 2, 3]",mpnet,hac,0.5438,0.5298,0.5235,
3,"[0, 2, 3]",mpnet,spectral,0.5032,0.5126,0.4988,
3,"[0, 2, 3]",mpnet,hdbscan,0.4703,0.3415,0.2064,
3,"[0, 2, 4]",mpnet,kmeans,0.7408,0.7387,0.7347,
3,"[0, 2, 4]",mpnet,hac,0.6968,0.6471,0.6305,
3,"[0, 2, 4]",mpnet,spectral,0.714,0.7104,0.7074,
3,"[0, 3, 4]",mpnet,kmeans,0.6989,0.6952,0.6862,
3,"[0, 3, 4]",mpnet,hac,0.5863,0.5894,0.5864,
3,"[0, 3, 4]",mpnet,spectral,0.5848,0.5964,0.5786,
3,"[0, 3, 4]",mpnet,hdbscan,0.6167,0.3512,0.3179,
3,"[1, 2, 3]",mpnet,kmeans,0.5004,0.5094,0.5024,
3,"[1, 2, 3]",mpnet,hac,0.5932,0.5194,0.4824,
3,"[1, 2, 3]",mpnet,spectral,0.493,0.5175,0.4981,
3,"[1, 2, 3]",mpnet,hdbscan,0.214,0.341,0.2317,
3,"[1, 2, 4]",mpnet,kmeans,0.7524,0.752,0.7418,
3,"[1, 2, 4]",mpnet,hac,0.719,0.6696,0.6542,
3,"[1, 2, 4]",mpnet,spectral,0.7638,0.7298,0.7345,
3,"[1, 2, 4]",mpnet,hdbscan,0.6133,0.4031,0.3341,
3,"[1, 3, 4]",mpnet,kmeans,0.6811,0.687,0.6662,
3,"[1, 3, 4]",mpnet,hac,0.6217,0.6279,0.6207,
3,"[1, 3, 4]",mpnet,spectral,0.671,0.642,0.6481,
3,"[1, 3, 4]",mpnet,dbscan,0.5346,0.3353,0.1459,
3,"[1, 3, 4]",mpnet,hdbscan,0.6868,0.4415,0.3722,
3,"[2, 3, 4]",mpnet,kmeans,0.5396,0.5254,0.5267,
3,"[2, 3, 4]",mpnet,hac,0.4834,0.4618,0.4505,
3,"[2, 3, 4]",mpnet,spectral,0.5129,0.5051,0.5029,
3,"[2, 3, 4]",mpnet,hdbscan,0.6115,0.4049,0.3585,
4,"[0, 1, 2, 3]",mpnet,kmeans,0.5126,0.5295,0.5168,
4,"[0, 1, 2, 3]",mpnet,hac,0.5835,0.5374,0.5145,
4,"[0, 1, 2, 3]",mpnet,spectral,0.5448,0.534,0.5361,
4,"[0, 1, 2, 4]",mpnet,kmeans,0.7095,0.7048,0.7025,
4,"[0, 1, 2, 4]",mpnet,hac,0.626,0.619,0.6077,
4,"[0, 1, 2, 4]",mpnet,spectral,0.4432,0.5293,0.4554,
4,"[0, 1, 3, 4]",mpnet,kmeans,0.6769,0.6677,0.6633,
4,"[0, 1, 3, 4]",mpnet,hac,0.6433,0.6063,0.5954,
4,"[0, 1, 3, 4]",mpnet,spectral,0.3771,0.4278,0.3778,
4,"[0, 2, 3, 4]",mpnet,kmeans,0.5264,0.5245,0.5249,
4,"[0, 2, 3, 4]",mpnet,hac,0.4711,0.4719,0.467,
4,"[0, 2, 3, 4]",mpnet,spectral,0.5046,0.506,0.5036,
4,"[1, 2, 3, 4]",mpnet,kmeans,0.5232,0.529,0.5224,
4,"[1, 2, 3, 4]",mpnet,hac,0.5918,0.5041,0.49,
4,"[1, 2, 3, 4]",mpnet,spectral,0.5435,0.541,0.541,
4,"[1, 2, 3, 4]",mpnet,dbscan,0.3261,0.256,0.0967,
5,"[0, 1, 2, 3, 4]",mpnet,kmeans,0.5399,0.5445,0.5404,
5,"[0, 1, 2, 3, 4]",mpnet,hac,0.4758,0.4713,0.452,
5,"[0, 1, 2, 3, 4]",mpnet,spectral,0.3508,0.3942,0.3587,
2,"[0, 1]",minilm,kmeans,0.8741,0.8803,0.8757,
2,"[0, 1]",minilm,hac,0.8645,0.8181,0.8269,
2,"[0, 1]",minilm,spectral,0.8822,0.8545,0.862,
2,"[0, 1]",minilm,hdbscan,0.7861,0.5032,0.3703,
2,"[0, 2]",minilm,kmeans,0.783,0.7826,0.7818,
2,"[0, 2]",minilm,hac,0.7749,0.7685,0.7652,
2,"[0, 2]",minilm,spectral,0.7332,0.7333,0.7333,
2,"[0, 2]",minilm,dbscan,0.2562,0.4976,0.3382,
2,"[0, 2]",minilm,hdbscan,0.6326,0.5035,0.3497,
2,"[0, 3]",minilm,kmeans,0.7811,0.7978,0.7739,
2,"[0, 3]",minilm,hac,0.7613,0.7744,0.7453,
2,"[0, 3]",minilm,spectral,0.5019,0.5009,0.4606,
2,"[0, 3]",minilm,hdbscan,0.51,0.5002,0.3871,
2,"[0, 4]",minilm,kmeans,0.8757,0.8874,0.8763,
2,"[0, 4]",minilm,hac,0.8543,0.8587,0.8562,
2,"[0, 4]",minilm,spectral,0.8314,0.8386,0.8192,
2,"[0, 4]",minilm,dbscan,0.7066,0.5017,0.2957,
