k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 2]",w2v_pretrained,spectral,0.5871,0.5025,0.1533,
2,"[1, 2]",w2v_pretrained,kmeans,0.5106,0.6844,0.3113,
2,"[1, 2]",w2v_pretrained,hac,0.5054,0.5956,0.3142,
2,"[1, 2]",w2v_pretrained,spectral,0.5103,0.6614,0.2641,
2,"[1, 2]",w2v_pretrained,dbscan,0.5072,0.5166,0.0464,
3,"[0, 1, 2]",w2v_pretrained,kmeans,0.3908,0.5739,0.294,
3,"[0, 1, 2]",w2v_pretrained,hac,0.3151,0.4746,0.1976,
3,"[0, 1, 2]",w2v_pretrained,spectral,0.3342,0.3349,0.0048,
2,"[0, 1]",fasttext_pretrained,kmeans,0.5016,0.5962,0.1912,
2,"[0, 1]",fasttext_pretrained,hac,0.5016,0.5376,0.0732,
2,"[0, 1]",fasttext_pretrained,spectral,0.5015,0.5042,0.0114,
2,"[0, 2]",fasttext_pretrained,kmeans,0.5899,0.6063,0.3744,
2,"[0, 2]",fasttext_pretrained,hac,0.5892,0.5392,0.2314,
2,"[0, 2]",fasttext_pretrained,spectral,0.5868,0.5009,0.1498,
2,"[1, 2]",fasttext_pretrained,kmeans,0.5122,0.7165,0.3259,
2,"[1, 2]",fasttext_pretrained,hac,0.5096,0.6385,0.2358,
2,"[1, 2]",fasttext_pretrained,spectral,0.5071,0.5093,0.0322,
2,"[1, 2]",fasttext_pretrained,hdbscan,0.5071,0.5082,0.0301,
3,"[0, 1, 2]",fasttext_pretrained,kmeans,0.3857,0.3823,0.1669,
3,"[0, 1, 2]",fasttext_pretrained,hac,0.3304,0.3432,0.0209,
3,"[0, 1, 2]",fasttext_pretrained,spectral,0.3342,0.3349,0.0048,
3,"[0, 1, 2]",fasttext_pretrained,dbscan,0.3323,0.34,0.0148,
2,"[0, 1]",glove_pretrained,kmeans,0.5019,0.6092,0.1831,
2,"[0, 1]",glove_pretrained,hac,0.5012,0.5446,0.1165,
2,"[0, 1]",glove_pretrained,spectral,0.5015,0.5024,0.0078,
2,"[0, 1]",glove_pretrained,dbscan,0.5015,0.5047,0.0123,
2,"[0, 2]",glove_pretrained,kmeans,0.5787,0.5872,0.3524,
2,"[0, 2]",glove_pretrained,hac,0.5837,0.5287,0.212,
2,"[0, 2]",glove_pretrained,spectral,0.5871,0.5025,0.1533,
2,"[0, 2]",glove_pretrained,dbscan,0.5807,0.504,0.1571,
2,"[1, 2]",glove_pretrained,kmeans,0.5103,0.6776,0.3039,
2,"[1, 2]",glove_pretrained,hac,0.4944,0.3985,0.3509,
2,"[1, 2]",glove_pretrained,spectral,0.5071,0.5106,0.0349,
2,"[1, 2]",glove_pretrained,hdbscan,0.5071,0.5087,0.0312,
3,"[0, 1, 2]",glove_pretrained,kmeans,0.3795,0.5049,0.1772,
3,"[0, 1, 2]",glove_pretrained,hac,0.3704,0.5089,0.1432,
3,"[0, 1, 2]",glove_pretrained,spectral,0.3342,0.3349,0.0048,
