k,class_subset,embedding,clustering,precision,recall,f1,alpha
3,"[0, 4, 8]",sbert,hac,0.4459,0.3667,0.3817,
3,"[0, 4, 8]",sbert,spectral,0.3535,0.3333,0.3149,
3,"[0, 4, 9]",sbert,kmeans,0.5027,0.3697,0.3907,
3,"[0, 4, 9]",sbert,hac,0.5035,0.4833,0.4593,
3,"[0, 4, 9]",sbert,spectral,0.4517,0.3515,0.3821,
3,"[0, 4, 9]",sbert,dbscan,0.4746,0.4652,0.4489,
3,"[0, 4, 9]",sbert,hdbscan,0.4124,0.3621,0.2916,
3,"[0, 5, 6]",sbert,kmeans,0.6128,0.5992,0.5159,
3,"[0, 5, 6]",sbert,hac,0.7011,0.7905,0.6408,
3,"[0, 5, 6]",sbert,spectral,0.5439,0.3738,0.4366,
3,"[0, 5, 7]",sbert,kmeans,0.4111,0.3889,0.375,
3,"[0, 5, 7]",sbert,hac,0.5873,0.8667,0.6167,
3,"[0, 5, 7]",sbert,spectral,0.5667,0.8333,0.5665,
3,"[0, 5, 8]",sbert,kmeans,0.4417,0.6278,0.394,
3,"[0, 5, 8]",sbert,hac,0.4459,0.5,0.4151,
3,"[0, 5, 8]",sbert,spectral,0.4643,0.7056,0.4114,
3,"[0, 5, 9]",sbert,kmeans,0.4918,0.4303,0.4513,
3,"[0, 5, 9]",sbert,hac,0.5167,0.4833,0.469,
3,"[0, 5, 9]",sbert,spectral,0.424,0.3348,0.3736,
3,"[0, 5, 9]",sbert,hdbscan,0.4212,0.3621,0.2991,
3,"[0, 6, 7]",sbert,kmeans,0.5436,0.4595,0.4689,
3,"[0, 6, 7]",sbert,hac,0.5876,0.3579,0.4449,
3,"[0, 6, 7]",sbert,spectral,0.5476,0.3754,0.4454,
3,"[0, 6, 8]",sbert,kmeans,0.5769,0.4595,0.4754,
3,"[0, 6, 8]",sbert,hac,0.4541,0.3937,0.4097,
3,"[0, 6, 8]",sbert,spectral,0.5889,0.3921,0.4687,
3,"[0, 6, 9]",sbert,kmeans,0.5696,0.5752,0.565,
3,"[0, 6, 9]",sbert,hac,0.5161,0.4935,0.5,
3,"[0, 6, 9]",sbert,spectral,0.5967,0.607,0.5986,
