embedding,clustering,k,alpha,mean,std
mpnet,hdbscan,3,0.5,0.2762444444444444,0.07013316104224719
mpnet,hdbscan,3,0.75,0.2766888888888889,0.0714591044661988
mpnet,kmeans,2,0.25,0.7694300000000001,0.13171926417785504
mpnet,kmeans,2,0.5,0.7694300000000001,0.13171926417785504
mpnet,kmeans,2,0.75,0.77393,0.11928606186623635
mpnet,kmeans,3,0.25,0.6643,0.10937925864725097
mpnet,kmeans,3,0.5,0.6643,0.10937925864725097
mpnet,kmeans,3,0.75,0.66513,0.10817226025598661
mpnet,kmeans,4,0.25,0.5917600000000001,0.08438295443986303
mpnet,kmeans,4,0.5,0.59028,0.08579444620719923
mpnet,kmeans,4,0.75,0.58598,0.08960238278081673
mpnet,kmeans,5,0.25,0.5464,
mpnet,kmeans,5,0.5,0.5464,
mpnet,kmeans,5,0.75,0.5404,
mpnet,spectral,2,0.25,0.72892,0.15052015590389659
mpnet,spectral,2,0.5,0.72892,0.15052015590389659
mpnet,spectral,2,0.75,0.72892,0.15052015590389659
mpnet,spectral,3,0.25,0.6244,0.10848135528488041
mpnet,spectral,3,0.5,0.6244,0.10848135528488041
mpnet,spectral,3,0.75,0.6244,0.10848135528488041
mpnet,spectral,4,0.25,0.47336,0.07159984636855027
mpnet,spectral,4,0.5,0.47952000000000006,0.07428227917881898
mpnet,spectral,4,0.75,0.47748000000000007,0.06358531276953822
mpnet,spectral,5,0.25,0.3517,
mpnet,spectral,5,0.5,0.3517,
mpnet,spectral,5,0.75,0.3517,
sbert,dbscan,2,0.25,0.32888,0.05670372121827632
sbert,dbscan,2,0.5,0.32888,0.05670372121827632
sbert,dbscan,2,0.75,0.32888,0.05670372121827632
sbert,dbscan,3,0.25,0.15483333333333335,0.02009013024679862
sbert,dbscan,3,0.5,0.15483333333333335,0.02009013024679862
sbert,dbscan,3,0.75,0.15483333333333335,0.02009013024679862
sbert,dbscan,4,0.25,0.1106,
sbert,dbscan,4,0.5,0.1106,
sbert,dbscan,4,0.75,0.1106,
sbert,dbscan,5,0.25,0.0753,
sbert,dbscan,5,0.5,0.0753,
sbert,dbscan,5,0.75,0.0753,
sbert,hac,2,0.25,0.71689,0.10495455577428629
sbert,hac,2,0.5,0.72029,0.09608943114504204
sbert,hac,2,0.75,0.72029,0.09608943114504204
sbert,hac,3,0.25,0.5859300000000001,0.09114328219286864
sbert,hac,3,0.5,0.5859300000000001,0.09114328219286864
sbert,hac,3,0.75,0.5879,0.08823998841543187
sbert,hac,4,0.25,0.48894000000000004,0.0509927249713133
sbert,hac,4,0.5,0.48894000000000004,0.0509927249713133
sbert,hac,4,0.75,0.49306,0.04810948970837248
sbert,hac,5,0.25,0.4617,
sbert,hac,5,0.5,0.4617,
sbert,hac,5,0.75,0.4617,
